Año,Region,Gas natural (Consumo 10⁶ m³),Fuel oil (Consumo 10³ bbl),Gasolina/alcohol (Consumo 10³ bbl),Petróleo (Consumo 10³ bbl),Otros (Consumo 10³ bep),Destilados medios (Consumo 10³ bep)
2023,Africa,171229.08,,,1545057.46,,
2023,América Latina y el Caribe,81726.77,48832.93,926082.61,1511.87,82251.3,763579.31
2023,Asia & Australia,935383.81,,,13892311.17,,
2023,Europa,463355.98,,,5074904.83,,
2023,Ex URSS,596017.54,,,1692064.68,,
2023,Medio Oriente,577716.72,,,3520619.06,,
2023,Norte América,1007194.45,,,7787172.84,,
2023,Mundo,3832624.36,48832.93,926082.61,33513641.92,82251.3,763579.31
2023,OCDE,1757012.33,,,16326944.08,,
2023,China,404838.11,,,6050435.86,,
2023,EE.UU.,886467.21,,,6928998.43,,
