Region,Carbón mineral (Cantidad 10⁶ tep),Gas natural (Cantidad 10⁶ tep),Hidroenergía (Cantidad 10⁶ tep),Nuclear (Cantidad 10⁶ tep),Petróleo (Cantidad 10⁶ tep),Otras renovables (Cantidad 10⁶ tep)
Africa,"97,51","147,24","36,11","1,91","202,85","12,80"
América Latina y el Caribe,"31,60","242,08","71,46","10,83","255,38","198,86"
Asia & Australia,"3277,26","838,84","36,11","167,42","103,47","560,83"
Europa,"200,52","398,44","142,67","157,75","676,77","262,49"
Ex URSS,"131,04","512,52","56,51","49,69","218,81","3,69"
Medio Oriente,"9,06","496,78","6,16","8,34","436,75","9,25"
Norte América,"204,64","866,09","134,14","194,02","960,46","180,36"
Mundo,"3951,64","3501,98","483,16","589,96","2854,49","1228,27"
OCDE,"600,73","1510,85","309,48","392,62","2081,56","527,85"
China,"2196,06","348,12","273,85","93,18","781,69","382,74"
EE.UU.,"195,79","762,27","52,79","174,94","856,52","167,10"
